,Cluster,Companies
1227,6,50934
1228,6,10344
1229,6,61376
1230,6,49871
1231,6,49874
1232,6,10337
1233,6,49878
1234,6,49879
1235,6,49341
1236,6,49880
1237,6,50477
1238,6,50481
1239,6,10292
1240,6,10277
1241,6,51719
1242,6,51717
1243,6,50932
1244,6,50475
1245,6,39619
1246,6,10535
1247,6,10536
1248,6,64866
1249,6,10037
1250,6,10783
1251,6,10782
1252,6,64192
1253,6,41934
1254,6,63490
1255,6,10778
1256,6,63489
1257,6,10733
1258,6,42219
1259,6,42378
1260,6,42382
1261,6,42383
1262,6,42384
1263,6,10813
1264,6,41930
1265,6,41554
1266,6,41553
1267,6,11043
1268,6,39621
1269,6,11001
1270,6,10970
1271,6,9900
1272,6,65457
1273,6,40967
1274,6,9929
1275,6,10933
1276,6,65455
1277,6,40969
1278,6,10869
1279,6,10864
1280,6,41174
1281,6,65450
1282,6,10834
1283,6,40968
1284,6,9983
1285,6,42578
1286,6,10694
1287,6,45131
1288,6,11782
1289,6,61456
1290,6,10603
1291,6,61442
1292,6,45836
1293,6,10601
1294,6,45837
1295,6,46499
1296,6,46505
1297,6,46508
1298,6,61437
1299,6,46509
1300,6,10537
1301,6,46753
1302,6,9972
1303,6,10605
1304,6,45126
1305,6,44407
1306,6,10693
1307,6,9937
1308,6,42580
1309,6,43084
1310,6,43086
1311,6,10692
1312,6,43092
1313,6,10695
1314,6,10654
1315,6,10651
1316,6,44167
1317,6,44405
1318,6,9939
1319,6,61462
1320,6,10634
1321,6,61458
1322,6,10652
1323,6,45834
1324,6,17475
1325,6,36220
1326,6,15691
1327,6,15628
1328,6,34828
1329,6,34829
1330,6,34831
1331,6,34832
1332,6,34834
1333,6,34838
1334,6,34840
1335,6,15076
1336,6,34842
1337,6,34844
1338,6,15063
1339,6,34848
1340,6,15001
1341,6,34850
1342,6,14990
1343,6,14954
1344,6,34853
1345,6,15733
1346,6,15736
1347,6,34798
1348,6,34797
1349,6,16099
1350,6,34698
1351,6,16052
1352,6,16051
1353,6,16049
1354,6,16047
1355,6,34701
1356,6,34702
1357,6,16006
1358,6,14946
1359,6,34735
1360,6,34737
1361,6,15935
1362,6,34762
1363,6,15917
1364,6,15907
1365,6,34796
1366,6,15905
1367,6,15874
1368,6,15864
1369,6,15984
1370,6,14918
1371,6,34855
1372,6,14871
1373,6,14162
1374,6,34938
1375,6,34939
1376,6,14159
1377,6,14148
1378,6,34940
1379,6,34941
1380,6,14147
1381,6,14129
1382,6,14171
1383,6,14128
1384,6,14093
1385,6,14048
1386,6,34947
1387,6,34948
1388,6,14040
1389,6,34949
1390,6,14039
1391,6,34951
1392,6,14033
1393,6,14106
1394,6,16100
1395,6,14172
1396,6,34935
1397,6,34873
1398,6,34874
1399,6,14780
1400,6,34876
1401,6,14779
1402,6,14747
1403,6,14704
1404,6,34885
1405,6,14654
1406,6,14174
1407,6,14607
1408,6,14556
1409,6,34887
1410,6,34888
1411,6,34892
1412,6,14500
1413,6,14213
1414,6,14212
1415,6,14206
1416,6,34934
1417,6,14557
1418,6,16101
1419,6,16107
1420,6,34685
1421,6,16914
1422,6,18753
1423,6,16890
1424,6,9691
1425,6,16889
1426,6,18848
1427,6,18851
1428,6,16887
1429,6,34315
1430,6,18721
1431,6,34317
1432,6,34321
1433,6,34324
1434,6,34326
1435,6,34327
1436,6,16763
1437,6,16762
1438,6,34328
1439,6,34329
1440,6,16669
1441,6,34318
1442,6,34339
1443,6,18576
1444,6,18325
1445,6,17477
1446,6,17410
1447,6,17309
1448,6,17479
1449,6,17506
1450,6,17507
1451,6,17508
1452,6,17075
1453,6,17642
1454,6,18552
1455,6,17063
1456,6,17033
1457,6,17644
1458,6,17693
1459,6,17751
1460,6,17753
1461,6,17821
1462,6,18285
1463,6,16974
1464,6,16970
1465,6,17034
1466,6,34955
1467,6,34340
1468,6,16665
1469,6,34546
1470,6,16377
1471,6,34591
1472,6,34596
1473,6,34598
1474,6,16326
1475,6,16297
1476,6,16276
1477,6,16255
1478,6,34544
1479,6,34603
1480,6,16208
1481,6,34604
1482,6,16184
1483,6,16175
1484,6,16171
1485,6,34675
1486,6,34678
1487,6,16159
1488,6,34683
1489,6,16209
1490,6,34341
1491,6,34532
1492,6,16510
1493,6,16651
1494,6,16624
1495,6,16616
1496,6,34400
1497,6,34401
1498,6,34403
1499,6,16595
1500,6,16581
1501,6,34404
1502,6,34479
1503,6,34405
1504,6,34408
1505,6,34467
1506,6,34468
1507,6,16527
1508,6,34469
1509,6,34472
1510,6,34473
1511,6,34475
1512,6,16511
1513,6,16569
1514,6,36221
1515,6,13989
1516,6,34956
1517,6,35753
1518,6,35754
